,Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross,Decade
76,4804,1956-12-23,The Wrong Man,1200000.0,2000000.0,2000000.0,1950
77,4015,1957-01-01,A Farewell To Arms,5000000.0,11014685.0,11000000.0,1950
78,5152,1957-04-13,12 Angry Men,340000.0,0.0,0.0,1950
79,4337,1957-12-18,The Bridge on the River Kwai,3000000.0,33300000.0,33300000.0,1950
80,4348,1958-09-20,Cat on a Hot Tin Roof,3000000.0,17570324.0,17570324.0,1950
81,4016,1959-01-01,Solomon and Sheba,5000000.0,11000000.0,11000000.0,1950
82,4274,1959-01-01,The Nun's Story,3500000.0,12800000.0,12800000.0,1950
83,4440,1959-03-29,Some Like it Hot,2883848.0,25000000.0,25000000.0,1950
84,2802,1959-11-18,Ben-Hur,15000000.0,73000000.0,73000000.0,1950
85,4171,1960-01-01,Exodus,4000000.0,21750000.0,21750000.0,1960
86,4347,1960-01-01,The Apartment,3000000.0,24600000.0,18600000.0,1960
87,4357,1960-01-01,Elmer Gantry,3000000.0,10400000.0,10400000.0,1960
88,3151,1960-07-10,Spartacus,12000000.0,60000000.0,30000000.0,1960
89,3185,1960-10-24,The Alamo,12000000.0,7900000.0,7900000.0,1960
90,4189,1961-01-01,The Misfits,4000000.0,8200000.0,8200000.0,1960
91,4359,1961-01-01,Judgment at Nuremberg,3000000.0,10000000.0,10000000.0,1960
92,4436,1961-01-01,Pocketful of Miracles,2900000.0,5000000.0,5000000.0,1960
93,4558,1961-09-25,The Hustler,2000000.0,7600000.0,7600000.0,1960
94,3834,1961-10-18,West Side Story,6000000.0,43700000.0,43700000.0,1960
95,4322,1962-01-01,The Man Who Shot Liberty Valance,3200000.0,8000000.0,8000000.0,1960
96,4555,1962-01-01,Lolita,2000000.0,9250000.0,9250000.0,1960
97,3320,1962-04-10,The Longest Day,10000000.0,50100000.0,39100000.0,1960
98,2546,1962-08-11,Mutiny on The Bounty,19000000.0,13680000.0,13680000.0,1960
99,4122,1962-09-03,State Fair,4500000.0,3500000.0,3500000.0,1960
100,2827,1962-12-16,Lawrence of Arabia,15000000.0,69995385.0,37495385.0,1960
101,4550,1962-12-25,To Kill A Mockingbird,2000000.0,13129846.0,13129846.0,1960
102,2698,1963-01-01,55 Days at Peking,17000000.0,10000000.0,10000000.0,1960
103,4454,1963-01-01,Donovan's Reef,2686000.0,6600000.0,6600000.0,1960
104,4478,1963-05-29,Hud,2500000.0,10000000.0,10000000.0,1960
105,4842,1963-07-10,Tom Jones,1000000.0,37600000.0,37600000.0,1960
106,3501,1963-07-11,It's a Mad Mad Mad Mad World,9400000.0,60000000.0,46300000.0,1960
107,4849,1963-08-05,Dr. No,1000000.0,59567035.0,16067035.0,1960
108,4181,1963-08-08,The Great Escape,4000000.0,11744471.0,11744471.0,1960
109,1253,1963-12-06,Cleopatra,42000000.0,71000000.0,57000000.0,1960
110,2552,1964-01-01,The Fall of the Roman Empire,19000000.0,4750000.0,4750000.0,1960
111,4664,1964-01-29,Dr. Strangelove,1800000.0,9164370.0,9164370.0,1960
112,4543,1964-08-04,From Russia With Love,2000000.0,78900000.0,24800000.0,1960
113,3832,1964-08-26,Mary Poppins,6000000.0,102300000.0,102300000.0,1960
114,2670,1964-10-22,My Fair Lady,17000000.0,72070955.0,72000000.0,1960
115,5040,1964-11-08,A Hard Day's Night,560000.0,1597233.0,1537860.0,1960
116,4334,1964-12-22,Goldfinger,3000000.0,124900000.0,51100000.0,1960
117,3594,1965-02-03,The Sound of Music,8200000.0,286214286.0,163214286.0,1960
118,2425,1965-02-15,The Greatest Story Ever Told,20000000.0,15473333.0,15473333.0,1960
119,3907,1965-07-03,The Train,5800000.0,6800000.0,6800000.0,1960
120,4254,1965-07-04,Major Dundee,3800000.0,14873.0,14873.0,1960
121,3241,1965-12-22,Doctor Zhivago,11000000.0,111859493.0,111721000.0,1960
122,3514,1965-12-29,Thunderball,9000000.0,141200000.0,63600000.0,1960
123,4276,1966-02-23,Harper,3500000.0,12000000.0,12000000.0,1960
124,4354,1966-07-16,Torn Curtain,3000000.0,13000000.0,13000000.0,1960
125,2831,1966-10-10,Hawaii,15000000.0,34562222.0,34562222.0,1960
126,4249,1966-12-12,A Man for All Seasons,3900000.0,28350000.0,28350000.0,1960
127,4273,1967-01-01,In Cold Blood,3500000.0,13007551.0,13000000.0,1960
128,5232,1967-01-18,Per un pugno di dollari,200000.0,3500000.0,3500000.0,1960
129,4546,1967-02-08,In the Heat of the Night,2000000.0,24391108.0,24379978.0,1960
130,3159,1967-04-28,Casino Royale,12000000.0,41744718.0,22744718.0,1960
131,3496,1967-06-13,You Only Live Twice,9500000.0,111600000.0,43100000.0,1960
132,5029,1967-10-05,Per qualche dollaro in più,600000.0,4300000.0,4300000.0,1960
133,4799,1967-12-29,"Il buono, il brutto, il cattivo",1200000.0,6100000.0,6100000.0,1960
134,4757,1968-01-01,Shalako,1455000.0,2620000.0,2620000.0,1960
135,5292,1968-01-10,Night of the Living Dead,114000.0,30000000.0,12000000.0,1960
136,3295,1968-02-04,2001: A Space Odyssey,10500000.0,68700000.0,56700000.0,1960
137,4667,1968-03-08,Hang 'em High,1800000.0,6800000.0,6800000.0,1960
138,5008,1968-06-25,La mariée était en noir ,747000.0,44566.0,44566.0,1960
139,3906,1968-08-02,The Planet of the Apes,5800000.0,33395426.0,33395426.0,1960
140,3559,1968-10-10,Barbarella,9000000.0,0.0,0.0,1960
141,3323,1968-11-12,Oliver!,10000000.0,37402877.0,37402877.0,1960
142,4321,1968-12-06,Rosemary's Baby,3200000.0,33395426.0,33395426.0,1960
143,2465,1969-01-01,Sweet Charity,20000000.0,8000000.0,8000000.0,1960
144,4263,1969-05-25,Midnight Cowboy,3600000.0,44785053.0,44785053.0,1960
145,4032,1969-05-28,C'era una volta il West,5000000.0,5321508.0,5321508.0,1960
146,3883,1969-06-18,The Wild Bunch,6000000.0,509424.0,509424.0,1960
147,5228,1969-07-25,The Stewardesses,200000.0,25000000.0,13500000.0,1960
148,2375,1969-10-15,Paint Your Wagon,20000000.0,31678778.0,31678778.0,1960
149,3831,1969-10-24,Butch Cassidy and the Sundance Kid,6000000.0,102308900.0,102308900.0,1960
150,2175,1969-12-16,"Hello, Dolly",24000000.0,33208099.0,33208099.0,1960
151,3613,1969-12-18,On Her Majesty's Secret Service,8000000.0,82000000.0,22800000.0,1960
152,4195,1969-12-19,Topaz,4000000.0,6000000.0,6000000.0,1960
153,2159,1970-01-01,Waterloo,25000000.0,0.0,0.0,1970
154,2270,1970-01-01,Darling Lili,22000000.0,5000000.0,5000000.0,1970
155,3136,1970-01-01,Patton,12000000.0,62500000.0,62500000.0,1970
156,3277,1970-01-01,The Molly Maguires,11000000.0,2200000.0,2200000.0,1970
157,4265,1970-01-01,M*A*S*H,3500000.0,81600000.0,81600000.0,1970
158,4855,1970-01-01,Beyond the Valley of the Dolls,1000000.0,9000000.0,9000000.0,1970
159,5027,1970-03-26,Woodstock,600000.0,34505110.0,34505110.0,1970
160,4259,1970-05-13,The Ballad of Cable Hogue,3716946.0,5000000.0,3500000.0,1970
161,4349,1970-05-26,Beneath the Planet of the Apes,3000000.0,17489009.0,17489009.0,1970
162,2598,1970-06-24,Catch-22,18000000.0,24911670.0,24911670.0,1970
163,2076,1970-09-23,"Tora, Tora, Tora",25000000.0,29548291.0,29548291.0,1970
164,3512,1971-01-01,Fiddler on the Roof,9000000.0,80500000.0,80500000.0,1970
165,3809,1971-01-01,The Andromeda Strain,6500000.0,12376563.0,12376563.0,1970
166,4477,1971-01-01,Escape from the Planet of the Apes,2500000.0,12300000.0,12300000.0,1970
167,5270,1971-01-01,Sweet Sweetback's Baad Asssss Song,150000.0,15200000.0,15200000.0,1970
168,4626,1971-04-28,Bananas,2000000.0,0.0,0.0,1970
169,4379,1971-06-30,Willy Wonka & the Chocolate Factory,3000000.0,4000000.0,4000000.0,1970
170,4526,1971-09-10,The French Connection,2200000.0,41158757.0,41158757.0,1970
171,3705,1971-12-17,Diamonds Are Forever,7200000.0,116000000.0,43800000.0,1970
172,4686,1972-01-01,Conquest of the Planet of the Apes,1700000.0,9700000.0,9700000.0,1970
173,3709,1972-03-15,The Godfather,7000000.0,268500000.0,134966411.0,1970
174,4275,1972-06-21,Frenzy,3500000.0,12600000.0,12600000.0,1970
175,5356,1972-06-30,Deep Throat,25000.0,45000000.0,45000000.0,1970
176,5314,1972-08-30,The Last House on the Left,87000.0,3100000.0,3100000.0,1970
177,4239,1972-09-11,1776,4000000.0,0.0,0.0,1970
178,4548,1972-11-08,Everything You Always Wanted to Know,2000000.0,18016290.0,18016290.0,1970
179,4665,1973-01-01,Battle for the Planet of the Apes,1800000.0,8800000.0,8800000.0,1970
180,4106,1973-05-23,Pat Garrett and Billy the Kid,4638783.0,11000000.0,8000000.0,1970
181,3714,1973-06-27,Live and Let Die,7000000.0,161800000.0,35400000.0,1970
182,3926,1973-08-22,High Plains Drifter,5500000.0,15700000.0,15700000.0,1970
183,4994,1973-11-08,American Graffiti,777000.0,140000000.0,115000000.0,1970
184,4547,1973-12-17,Sleeper,2000000.0,18344729.0,18344729.0,1970
185,3921,1973-12-25,The Sting,5500000.0,159616327.0,159616327.0,1970
186,3121,1973-12-26,The Exorcist,12000000.0,400214478.0,202347346.0,1970
187,4458,1974-01-01,Blazing Saddles,2600000.0,119500000.0,119500000.0,1970
